CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
313.76,10.45,38.62,9.18,4.26,5.19,Olathe,32
397.21,14.91,32.9,0.51,7.92,8.93,Layton,27
195.27,0.05,72.24,0.17,2.54,14.11,Carolina,91
333.79,14.4,42.92,0.72,8.22,8.76,Fort Wayne,36
330.45,7.8,32.19,0.6,5.67,6.13,Topeka,27
280.38,6.26,19.49,0.08,2.6,2.99,Frisco,16
247.0,6.77,35.05,4.05,1.55,1.86,Bossier City,29
273.71,5.83,21.28,0.1,2.1,2.46,Allen,18
240.33,3.17,78.68,1.37,2.26,5.6,Savannah,109
287.06,14.74,57.94,3.46,4.22,7.92,Baldwin Park,49
473.98,34.62,19.49,2.09,14.95,17.08,Rochester,48
580.79,38.39,27.54,5.07,26.42,31.81,Wilmington,72
195.27,0.05,75.82,0.14,1.79,9.22,Mayagüez,102
520.71,32.22,46.49,4.71,19.62,24.67,Thornton,58
257.02,11.82,57.94,1.54,1.79,5.31,East Los Angeles,49
323.77,12.0,62.94,1.85,3.47,5.26,Brockton,62
554.09,35.64,37.55,7.09,31.64,40.49,Dale City,82
260.35,4.33,62.23,0.71,6.67,8.22,Johns Creek,60
327.11,12.85,36.12,2.24,6.7,7.78,Bayonne,30
280.38,14.05,28.25,7.75,2.66,4.93,Walnut Creek,23
380.52,21.76,46.49,2.0,10.27,11.87,New Haven,39
287.06,6.34,35.76,0.94,4.22,14.73,Yuma,30
247.0,7.54,72.24,3.55,4.51,8.53,Spring Valley,91
307.08,4.71,44.35,0.13,5.98,6.14,Waterloo,37
260.35,9.77,67.23,1.74,1.33,2.82,Glendale,75
250.34,7.54,80.82,3.87,6.63,14.64,Baton Rouge,114
367.17,19.19,59.37,3.25,11.9,14.83,Virginia Beach,51
1495.36,85.0,1.97,11.33,78.81,93.97,Bk,157
303.75,5.74,45.42,0.36,11.48,12.39,Eau Claire,38
283.72,6.17,45.78,0.44,7.03,8.66,Athens-Clarke County unified government,38
974.66,61.69,2.55,6.14,42.32,56.32,Jersey City,103
223.64,9.85,55.08,3.64,3.68,5.5,Westminster,46
253.68,6.6,43.27,0.74,1.95,2.42,Round Rock,36
600.82,63.06,7.69,10.85,17.67,22.15,Chicago,78
343.8,14.4,25.75,0.8,6.63,7.0,Oklahoma City,21
377.18,18.17,50.78,2.41,11.73,13.51,Hampton,43
287.06,10.03,32.54,1.25,1.72,2.46,Marysville,27
427.25,40.1,17.17,3.01,7.49,9.68,Waukegan,50
280.38,6.34,52.93,0.64,2.01,3.39,Indio,44
233.65,1.97,69.38,0.29,2.14,5.15,Hoover,82
233.65,5.01,91.55,2.15,2.65,11.52,Orlando,141
330.45,18.34,45.78,1.76,5.31,6.35,Cincinnati,38
413.9,29.13,21.99,2.62,9.14,11.59,Westland,36
240.33,4.93,62.94,0.51,1.18,1.49,Waldorf,62
273.71,5.83,21.28,0.1,2.1,2.46,McKinney,18
614.17,54.84,10.01,4.65,17.97,20.54,Elgin,68
230.31,6.43,61.51,3.13,4.18,7.68,Beaumont,57
257.02,4.84,60.8,1.36,4.77,6.94,Chattanooga,55
267.03,5.31,34.69,0.01,0.57,1.14,Bend,29
350.48,21.76,16.81,3.25,3.83,5.62,Bellevue,27
226.97,1.14,65.8,0.23,0.63,1.1,Daly City,71
